frame_timecode,frame_id,figure_index,fig_box_min_x,fig_box_min_y,fig_box_max_x,fig_box_max_y,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0.64,16,1,292.22882,121.06415,346.25177,330.39053,318.25806,136.51443,321.20477,132.52725,314.32913,132.52725,329.06265,136.51443,309.41794,137.51122,337.90277,162.43103,303.52454,161.43423,345.76065,190.34122,298.61334,184.36046,327.09818,169.40857,310.40018,177.38292,329.06265,215.26102,308.4357,215.26102,329.06265,261.11346,309.41794,260.11667,327.09818,311.9499,312.36465,310.9531
0.68,17,1,289.0279,115.05602,345.40564,320.13428,318.20584,137.45535,321.1731,133.47325,314.2495,133.47325,328.09668,137.45535,309.3041,137.45535,335.02026,160.35243,303.3696,162.34348,341.94385,192.20924,295.45694,185.24057,318.20584,155.3748,314.2495,155.3748,330.07486,217.09738,308.315,215.10634,329.08575,260.9005,310.29318,258.90945,326.11853,307.69022,312.27136,305.69916
0.72,18,1,290.101,114.960495,343.4447,325.6977,318.25464,138.43123,322.20602,134.4362,315.29108,134.4362,328.1331,137.43246,309.364,137.43246,336.03586,160.40382,302.4491,164.39885,342.95078,193.36272,296.522,192.36397,327.14523,168.39386,293.55847,217.33282,329.12094,220.3291,308.37616,220.3291,329.12094,261.278,310.35187,261.278,327.14523,311.21576,312.32755,307.22073
0.76,19,1,289.00278,115.76479,346.28067,322.93777,319.12305,137.1793,322.0857,134.19124,315.17285,133.1952,328.99854,137.1793,309.24756,137.1793,335.9114,163.07593,303.32227,162.07991,342.82425,192.95665,296.4094,189.96857,320.1106,157.0998,293.44675,220.84532,328.99854,218.85327,307.27246,218.85327,328.99854,260.68628,310.2351,259.69025,327.02344,308.49542,313.19775,307.4994
0.8,20,1,286.59143,116.73698,344.24982,329.26526,318.90002,136.19379,322.87646,133.20044,314.92358,133.20044,328.84113,136.19379,308.95892,137.19157,336.794,162.13622,302.99426,162.13622,340.77045,193.06757,300.0119,189.07642,328.84113,166.12735,293.05316,219.00998,329.8352,218.01219,307.96478,217.0144,328.84113,262.91254,309.953,260.91696,326.8529,313.7996,312.93536,309.80844
0.84,21,1,289.77405,115.44587,344.5467,335.37784,319.1521,137.93892,323.13556,133.94016,315.16864,133.94016,329.11078,136.93922,310.1893,137.93892,336.08182,163.93088,302.22238,161.93149,340.0653,194.9213,302.22238,189.92284,328.1149,160.93181,290.27197,220.91325,330.10663,217.91418,308.19757,216.91449,329.11078,262.90027,311.18518,261.90057,327.11902,311.88513,313.1769,311.88513
0.88,22,1,291.7315,115.63084,346.9701,333.56155,317.8712,137.12401,321.8168,133.12527,313.92557,133.12527,328.72162,136.12433,308.99356,138.12369,335.62646,161.11638,303.07513,162.11606,327.73523,165.11511,292.2247,180.11034,327.73523,163.11574,313.92557,155.11829,329.70804,217.09859,308.00717,217.09859,329.70804,263.08395,309.97998,261.0846,326.74884,310.06903,312.93918,310.06903
0.92,23,1,290.49365,119.504036,347.3943,328.68646,317.9457,136.9359,321.93875,132.95148,314.95093,132.95148,328.92654,136.9359,309.95966,136.9359,336.9126,163.8308,302.97186,160.84247,340.9056,194.7101,310.95792,189.72957,327.92828,163.8308,325.93176,200.68674,329.9248,216.62445,308.9614,216.62445,328.92654,264.43756,309.95966,261.44925,326.93002,312.2507,312.95444,310.25848
0.96,24,1,292.43842,120.14389,347.15155,331.0218,317.80542,137.63376,321.78455,133.63608,314.82108,133.63608,329.74283,137.63376,309.84714,136.63434,336.70633,162.6193,303.87845,161.61987,340.68546,195.6002,300.89407,191.60251,346.65417,221.58516,295.92017,220.58572,330.7376,217.58746,308.85236,218.58688,329.74283,263.56085,310.84192,262.56143,326.75848,312.5325,312.83148,308.5348
1.0,25,1,291.35144,119.84539,346.75262,328.7471,318.55737,137.33716,322.51462,133.33904,315.58945,133.33904,329.43976,137.33716,310.6429,137.33716,335.3756,160.32634,302.72845,161.32587,340.32214,190.31223,291.8461,183.31552,343.29004,220.29813,296.79263,220.29813,330.42905,214.30095,309.65363,216.3,330.42905,264.27744,310.6429,262.27838,326.47183,314.2539,312.62155,310.2558
