frame_timecode,frame_id,figure_index,fig_box_min_x,fig_box_min_y,fig_box_max_x,fig_box_max_y,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0.0333333333333,2,1,769.7615,438.18304,907.65454,659.6468,880.17584,493.54898,883.1735,489.55865,878.1774,486.5659,883.1735,487.56348,860.19135,469.60696,879.17664,502.52725,816.22546,485.5683,881.17505,558.39197,799.2386,537.4427,889.1689,562.3823,866.1867,560.38715,841.20605,569.3654,788.24713,568.3678,881.17505,581.3364,799.2386,561.3847,831.2138,610.26636,800.23785,624.23254
0.0333333333333,2,2,1441.7034,435.53104,1604.2329,666.75024,1509.0085,492.83752,1513.9941,486.85773,1503.0259,488.85098,1523.9652,471.9082,1486.075,472.90485,1543.9075,489.84763,1470.1211,491.84088,1589.7748,535.6928,1464.1384,547.6524,1533.9364,534.69617,1498.0403,584.5279,1538.922,570.575,1491.0605,564.5952,1566.8412,551.639,1447.1875,584.5279,1568.8353,633.363,1508.0115,598.4808
0.0333333333333,2,3,880.03986,459.33615,1048.4125,698.06213,964.2262,523.7622,970.2039,515.77136,955.2596,514.7725,994.1148,501.7874,946.29297,505.78284,1018.0257,532.7519,955.2596,515.77136,990.12964,604.6693,907.43774,544.7381,928.3598,616.6556,903.45264,591.68427,1015.03687,633.6361,969.2076,594.6808,971.2002,631.63837,897.4749,614.6579,1015.03687,658.6074,935.3338,652.6143
0.0333333333333,2,4,433.0809,458.18353,586.791,665.26166,550.35974,514.4331,556.34845,508.45972,545.36914,506.46857,559.3428,505.47302,521.4143,491.53506,554.3522,516.42426,486.4802,510.45084,559.3428,562.2204,482.48773,566.20264,555.3503,587.10956,531.3955,582.1317,512.4313,592.0874,457.5348,591.09186,578.307,578.1495,491.4708,587.10956,518.42,625.9367,474.50278,646.8436
0.0333333333333,2,5,1245.2185,490.48135,1443.1057,731.3593,1384.639,550.95074,1391.635,542.9548,1380.6414,537.9573,1389.6362,544.95374,1350.6584,524.96387,1368.6482,555.9482,1304.6846,555.9482,1379.6418,615.9178,1328.6709,606.92236,1432.6117,641.90466,1386.638,665.89246,1301.6863,658.896,1262.7085,650.9001,1383.6396,617.9168,1314.679,619.9158,1309.6818,687.88135,1289.6931,700.87476
0.0333333333333,2,6,1069.978,462.38736,1206.0808,647.6305,1141.0098,504.71442,1145.977,498.73883,1136.0425,499.73477,1156.905,488.77954,1124.1211,494.75513,1169.8198,491.76733,1103.2587,495.75104,1186.7085,554.511,1092.3307,558.4947,1164.8525,538.57605,1121.1407,596.3401,1157.8984,555.5069,1096.3044,558.4947,1198.6299,578.4133,1073.4551,578.4133,1166.8395,618.25055,1101.2717,622.23425
0.0333333333333,2,7,578.3816,498.9087,766.3092,737.7717,684.8406,577.3637,695.83636,569.3683,677.84326,571.3671,708.83136,548.3803,662.84906,540.3849,715.8287,559.374,634.85986,528.3918,734.82135,613.3431,614.86755,593.35455,712.8298,662.315,682.8414,634.33105,682.8414,639.3282,635.85944,631.33276,753.814,649.32245,601.87256,616.3414,699.83484,679.30524,624.8637,704.29095
0.0666666666667,4,1,770.3941,438.7838,907.39606,652.6758,881.0877,492.2568,885.0588,488.25882,878.1094,485.26035,885.0588,487.25934,861.23236,470.2679,880.095,501.25226,816.5578,485.26035,881.0877,560.2225,801.66626,537.2341,889.02985,560.2225,864.21063,558.2235,838.3987,572.21643,788.7603,569.21796,882.0805,579.2129,798.688,561.222,833.4349,611.1967,800.6735,621.19165
0.0666666666667,4,2,878.9475,459.10492,1051.2765,694.5385,965.112,523.45013,970.0926,516.4669,956.1469,514.47174,993.0034,502.50052,947.1818,505.49332,1016.9103,531.4309,955.1508,517.46454,991.01117,602.2605,906.3408,544.3997,929.25165,615.2293,903.3525,591.2869,1014.9181,631.1909,978.0616,591.2869,972.08484,630.1933,897.37573,614.2317,1016.9103,656.1309,942.20123,671.0949
0.0666666666667,4,3,574.24774,502.7718,760.60114,737.513,687.3553,561.20734,693.33453,572.19525,678.3864,571.19635,710.27576,549.2206,662.4417,544.2261,717.2515,560.2085,633.542,527.2448,734.19275,612.1512,614.6077,593.1721,714.2619,658.1005,683.36914,633.12805,688.3518,637.12366,633.542,632.12915,754.1236,650.1094,599.65955,616.1468,700.3103,679.0774,626.5662,708.0455
